content,score
"belanja di tik tok agak gak aman yah,masa ada kasus pengembalian dana statusnya berhasil,tapi saldo g kembali alias ga masuk kembali ke rekening kita,sudah cek di saldo tiktok tetep ga ada🤦🏻,tolong tik tok di perbaiki donk👎🏻👎🏻👎🏻",1
"kok di aku aplikasinya GK bisa dibuka ,pdahal udah jelas""wifi lancar tiba tiba baru buka langsung kembali ,aku sampe bela""in hapus aplikasi lain tapi kok masih tetap yaa,pliss deh gimana sih ni aplikasi",2
wow tiktok emang keren dach,5
"tidak bisa poto live, tidak bisa men donwload lagi.",3
"bagus, tpi ko di aku blum ada tata letak ya",4
"plis lah ilangin sb sb sb apalah coo ganggu bet, orang pingin ini itu yang tapi tiba tiba kena sb ga lucu, liat orang lain lebih dari punya sendiri ga enak coo, plis lah",1
WOI TIKTOKK NAPA COBA VIDEO SELALU NGELAG PDHL SINYAL BAGUS,1
bagus,5
seruu,5
"ini kenapa banyak bet iklan sih, prasaan dulu gaada iklan yang langsung ke apk lain deh",1
tiktok suka mogok sendiri. suruh perbaharui tapi tidak ada bacaan nya,2
tiktok ini gmn upgrade ko tiktok shop y ilang mlh jdi tulisan teman,1
"mohon maaf,,untuk apk ini,,tolong untuk menonaktifkan akun sy telah di hack/dibajak,oleh orang yg TDK bertanggung jawab,,,,",5
wellllll,5
bagus betul bg sangat keren,5
mntep,5
tolong lah data penggunaan tu jangan gede2 banget.. masa masuk dua akun sampe makan memori 4GB. Perbaiki lahh...,3
aplikasi paling bagus menurut ku 😍 dan bisa mencari hal hal seperti membuat kreatifvitas dan resep makanan aplikasi paling best,5
"ngabisin banyak memo, banyak bug",1
banyak iklan drama yang nenjurus je seksualitas,1
"Crash mulu saat masuk aplikasinya, bukannya diperbaiki bugnya malah ga dibenerin",1
apk jelek sekali numbulik kaya tiktok tidak menanggapi walau sdh di tekan tunggu beberapa dikit muncul lagi minimal muncul lagi tu 3 jam lahh tolong yaa yg punya apk di perbaiki lagiii,1
GG udah bisa voice note,5
sangat bagus,5
seru,2
akun orang di ban tanpa sebab,1
seru.,5
best,5
bagus sih tapi kenapa aku gaada ikon tiktok shop nya??,3
Apakah ini bisa membantu Saya utk mendapatkan informasi terbaru terkait berita dan kebutuhan belanja Saya. Terimakasih,5
bisa tiktok dan juga bagus,5
"tiktok ini aplikasi,yg udah bagus bangat,sayang nya pas belanja dapat kurir yang kasar jadi nya malas lagi belanja di tiktok,kemarin pesan barang ,eh kurir jnt nya gak mau antar ,di telpon gak,di SMS jg ngak ,tiba tiba barang di retur tanpa konfirmasi dl,dengan alasan dia udah malas berurusan dengan saya,karena dia gak saya bantu untuk membayar denda, karena kesalahannya sendiri,yg suka menunda2 pengiriman,kek nya cuma dia aja deh kurir di daerah ku ,sampai segitu Detail nya dia tau sama paket k",5
baguss tapi penyumpanan saya sedikit,5
🥰🥰🥰🥰,5
"Secara keseluruhan Platform tiktok bagus sekali, tetapi masih ada yg perlu ditingkatkan nih, yaitu pelayanan standar komunitas yang masih melakukan penghapusan komentar padahal masih terkatagori wajar,",5
sangat puas,5
bagus sekali,5
tolong kembalikan akun aku ingin akun ku kembali,5
banyak mkn dta,2
"kenapa ketika saya menekan video, tidak bisa cepat, padahal sebelum update bisa",3
pulihan paylater nya,5
bagus aja gitu,5
sangat bagus👍👍👍,5
"tiktok semakin busuk, saya jualan di tiktok shop sangat kecewa, pembeli mengajukan pengembalian dana, sdh saya konfirmasi, dana sudah saya balikin kepada pembeli sepenuhnya, namun barang kita tidak di kembalikan sama pembeli itu, untuk returan juga banyak barang yang tidak di kembalikan. tiktok dan j&t kacau lah, pusing jualan di tiktok ini",1
bagus banget,5
"baguss banget plc cuma ya kata aku aplikasi nya tuh agak banyakin fitur gitu kyak fitur foto live,fitur voice dan lain lainnya",5
tiba-tiba suka keluar sendiri lemot,2
bagus juga kok aplikasi nya tetapi suka ngeleg dan panas gitu kanapa ya?,5
"Mohon maaf kok Makin kesini apk nya sangat berat kadang macet macet dan sering logout dengan sendirinya, Sangat di sayangkan kalo sering ngeleg dan macet macek",1
good,5
good,5
bagus,5
"saya kasih bintang 1 karena banyak live tentang mesum atau ketelanjangan Seksual, saya report malah laporan di tolak",1
aplikasi sangat bagus,5
aku suka karena videonya bagus,5
tiktok tidak adil masa saya kena blokir permanent padahal baru download apk apa ini,1
"aplikasi jelek, ngebug parah, lemot, PERBAIKI BUKAN PERBARUI DIKIT DIKIT PERBARUI APK TETAP NGEBUG, JELEEKKKK",1
siiiipppp,5
tolong bikin fitur hd foto untuk hp android,1
bagus,5
Ok' 👍,5
"aplikasi ini bolehlah bagi saya q suka dan q jamin gak bakalan ngelek karna apapun itu jenis aplikasi kalau kulitas signal tidak efektif/TDK bagus dan stabil nah itulah yg tidak membut koneksi jaringan TDK aman bejalan lancar, kalau memang signalnya bagus pasti gak akan ngelek, nah disitulah kelemahannya, dan menurut sy inilah aplikasi yg bagus bagi saya, saya suka banget inilah app tergantung signal harus kuat dan stabil Apun itu diharuskan signal normal terimakasih salam beraktivitas🙏🙏",3
saya sudah lama pake tiktok makanya saya kasih bintang.5,5
Sangan bermanfaaat,1
mantap,5
"aplikasi gajelas, makin update makin menurun kualitasnya banyak bug tiap update",1
"tiktok update bukannya makin bagus malah makin burik, banyak bug gajelas contohnya aja sy lagi ngetik chatan sama temen tiba-tiba chat ny kena pelanggaran, padahal dalam kata-katanya gada kata kasar sama sekali, ini bukan cuma sekali dua kali tapi sering terjadi. jangan gini terus lah tiktod klo km ada dendam pribadi sm akun sy sni kt selesain baik-baik jangan malah ngancem pake pelanggaran jg",1
untuk tugasnya ditambahin lagi supaya dapat koinya juga banyak,5
bagus sekali,5
tolong lah orang lagi komal diem diem aja malah kenak pl katanya perundungan padahal gw diem diem aja,1
"Mohon bantuannya tiktok..akun saya tidak bisa ubah no hp udh dicoba keluar info ""ada masalah""",5
ok,5
bagus banget sekarang,5
aplikasi yg sangat membantu,5
hiburan,5
bos tiktok mu aku hapus karena jelek dan habiskan ram dan baterai boros bos perbaikan donggg,1
lemot,2
sinyal bagus tapi nggak bisa upload Vidio,2
keren banget,5
sangat tidk adil tiktok. rata rata yg yg biasa biasa kenak pl trus yg bnyak mengandung pornografi tdk apa apa tolong lah sistemmu di liat ulang wahai tiktok,3
baikbermanfaat,5
keren,5
"updatenya bagus banget tapi ada yang kurang fiturnya, vn voice notes belummm ada di saya tapi orang lain ada tolong adaa in fitur vn terima kasih 👍",5
Tampilan pengaturan kok jadi putih tidak terlihat tulisan nya?? kenapa??,1
"tiktok gajelas AK UDH 16 TH KNP AKUN KU KE BAN ,PDHL GAPERNAH NYEBUT UMUR ATAU KELAS PLS DEH ATURAN GAJELAS SYALANN",1
"next update kalo buka kamera jangan langsung cerah bgtt dong layar hp nya, sakit tau kena mata",3
oklay,3
"apk nya bagus, cocok kalau lagi gabut,tapi saran ku adegan 18+ dikurangi takut banyak bocil yg nonton",3
lama instalnya,4
bagus..,5
suka ngelek ya aplikasi tiktok,5
bagus,5
nih apk lg sensi apa gimna dah mulung koin gk bisa mulu makin aneh apk ny udh vrsi trbaru mulung kdng bisa kdng kga pdhal blm limid,2
akun saya di batasi padahal saya lahiran 2004. tidak ada respon dari sistem tiktok padahal saya sudah ajukan umur,1
setiap bukak tiktok shop nyaa selalu kembali ke beranda ajg sebel bgt dehh,1
sering keluar sendiri hw,2
bagussss,5
tik tok aku ga ngapa ngapain tiba tiba akunya ke blokir,1
terbaik,5
jangan ngeleg tik tok nya dong,5
👍,4
ya sangat baik cocok untuk hiburan,3
bagus banget wajib donload sih,5
aplikasi tdr bisa di buka trus ngeleg,1
Aplikasi ini sangat membatu dan aku menyukai nya🥰,5
"saya kasih bintang satu ,tolong tiktok nya segera d perbaiki ya",2
Saat baru update aplikasinya gak bisa di buka,4
"aplikasi gampang di instal, tp sulit di uninstall",1
Tik tok yang enak cuy,5
gajelas banget bug mulu 😤😤😤,1
istimewa,5
kok tik tok sekarang udah ngga ada tik tok shop lagi yaa,2
mantap,5
ngeleg lemot,1
ok nangetmmmm,5
Sanggat setuju,5
gak bisa voice,1
bagus,5
gw suka banget apalagi yang opl,5
aku mau bisa vn,5
lumayan membantu,5
sangatt baguss,5
jelek apk nya dikit² dibatasi kn jadi ga seru lemot lagi lelet,1
ngeleg,2
lumayan,3
tapi tidakk bisaaa,5
dangat bagus,2
banyak film drama ai spam,1
"aplikasi hitam,gak guna,gambar aja kena pelanggaran giliran orang telanjang gak kenapa-napa",5
baik dan membantu,5
saya suka,4
mantap,5
kenapa di aku ga bisa di update sih😭😔,5
mantap,5
sangattt seru bangettt sampe saya bikin tiktok likenya nya blum ada ratusan tapi saya suka bangetttt sama tiktok ini 😋😋😋,5
sangat sangat bagus keren juga tapi kadang kadang ngelek.tapi pokonya tiktok keren dan bagus👌🏻👌🏻,5
"bikin seneng,nyaman,tenang",5
tiktok semakin buruk,1
sangat seru,5
"perbaiki lah ,masa pas lagi scroll pencarian trs pas mencet kembali malah balik ke beranda bukannya masih di pencarian",1
apkl tolol gak bisa di bukan mental terus rusak rusak jangan di download,1
apk busuk,1
tiktok hiburan faworit semua orang,5
"loading mulu terus udah nunggu lama"" eh malah balik lagi ke beranda ga bisa di buka aneh makin ke sini makin ga jelas",1
SUKA SEKALI,5
bagus sih tapi banyak bocil ngomong kasar tolong perbaiki,4
baik tapi bikin fitur vn nya di percepat prosesnya,5
memberi hiburan dan motivasi,5
aplikasi ini sanagatbagus,5
sangat bagus bisa mendapatkan hasil kalau bisa memungsikanya,5
bagus cocok untuk di pakai sehari hari,5
baik,5
"tiktok banyak error, apa apaan ini masa saya udah login, di suruh login lagi padahal udh login, tapi besok nya di suruh login lagi",1
sering eror buat upload vt nol view padahal setingan nya ke publik,1
bagus sih tapi sayangnya gampang terkena pelanggaran,4
kasih fitur hapus semua repostan ga🤬!!,5
David David David🙏👍,5
tambahin fitur telpon dong,3
"tik tok kenapa gabisa buka halaman depan,, muter terus pdhal udh di update",4
Aplikasi yang sangat menginspirasi dan menghibur,5
"Apasi ini banyak iklan judol nya, berpengaruh banget bagi yng belum kenal judol ,mohon hapus iklan-promosi judol nya ganggu banget",1
👍,5
nice,5
banyak bug nya gak bisa di tekan harus login ulang,3
bagus belanja cari kebutuhan juga lengkap,5
tiktok nya di cari apa yang datang apa makin lama makin jelak aja,2
maaf mengapa kok akhir akhir in akun saya susa masuk,1
bgs singkat saja,5
Kenapa tidak bisa dungot,5
ok,5
oke lah,4
kenapa y sekarang stiap kita live dmlm hari aplikasi ny lgsg kluar aj g BS live...tlong perbaiki donk,1
kualitas nya bagus banyak video yang bikin saya terhibur,5
mamtaabbb,5
mantep,5
"ngelag,sering keluar sendiri",1
apk sarang monyet,5
tiktok ini sangat indah untuk di tonton dan bisa mencari info apapun di tiktok ini loh,5
sangat bagus dan menghibur,5
aplikasi trlalu berat..,1
"jaringannya bagus tapi aplikasi lemot, loading lama, dikit' berhenti videonya, terus ada tulisan ""tidak ada komeksi internet"" atau ""jaringan anda tidak stabil. terys biasanya yang keluar live semua, kalo iklan iklan semua, apalahhhh",1
sangat membantu.,5
"suka sm aplikasi nya, tapi setiap nge scroll tiktok selalu ada lagu yang untuk ""orang yang mungkin anda kenal"" padahal hape nya ga nge lag...",2
ga bisa upgrade buat vn,4
saya sampai ketagihan setiap hari aku nonton tapi banyak video yang untuk dewasa,5
saya sangat suka ini sangat menyenangkan,5
saat chat digrup kadang bisa mengirim foto kdang tidak ih ni ngeselin bet anjir yg bnr aj elah blog dritdi bolak balik ga muncul' ih panteg,2
seru makan sehari hari gua,5
tiktok seru sekali,5
bang kenapa kalau mau di updet tidak bisa di instal gua heran apa hatus ganti hp,2
"wifi 45mbps, tidak hujan, malam hari, tapi ngelag nya minta ampun, ngeframe banget loh sumpah.. dan yg paling ngeselin nya itu adalah ketika tiktok lagi lag setiap mau buka aplikasi lain.. malah ikutan ngelag juga termasuk WA apk kecil.. emg parah bgt nih tiktok sepengaruh itu ke aplikasi lain",2
Anjirrrr,5
aplikasi ini sangat nyaman di pakai tidak ribet boleh dicoba benaran,5
bagus banget,5
"Kecewa berat karena akun saya di batasi, padahal untuk usianya di atas 16 tahun. kelahiran 2004. sungguh sangat kecewa banget karena tidak adanya tinjau balik setelah aju banding usia",1
saya cantik sekali,5
baguss banget,5
bagus banget,5
bagusss,5
👍👍👍,5
bagus oke lah,4
"aplikasi ini tidak bisa untuk nonton selalu tulisan jaringan anda tidak setabil, padahal jaringan bagus, ga bisa updet juga, ga bisa liat vidio leg parah",1
makin ksini gajelas masa akun gua tbtb perbatasan usia pdhl dr awal udh di setting 2004,1
mudah digunakan,5
jelek,5
"aktivitas berhadiah tidak tersedia,entahlah kenapa,",5
cukup bagus buat hiburan,5
seruuuuuuu bangettt,5
sanggat bagus,5
akun saya dibelokkir,1
"bagus aja ini aplikasi, saya kasih bintang 5 agar akun saya kembali dari banned yang tbtb padahal saya ga ngelanggar peraturannya. saya jga aslinya kaget tbtb akun ke ban, semoga segera di perbaiki lagi dengan sistem nya",5
Bagus banget aku suka sama tiktok,5
lan caranya bisa main game dan nonton,5
"tiktokshopp saya tidak muncul di berada, padahal sudah saya update teteap tidak ada dan saya apus abis itu downlod lagi tetap tidak muncul",3
gabisa di buka,1
Memang menarik,5
bagus baaaanettttt,5
banyak bug misal kalo di pencarian terus kembali nah kalo mencet tanda panah nya atau back ke cepetan atau 2 kalo tiktok nya nge stuck tapi suara jalan layar putih kedua komen di vt sebelum nya nyangkut buka komen di vt ke 2 dia ke timpa tolong di perbaiki 😮‍💨,2
layar penuh,5
pas donwlod ngelag nunggu nya lama,1
bagus,5
welek nemen,1
Makasih,5
udah download. tapi ngk ada tiktoknya. aneh banget.,3
Menghibur,5
aplikasi nya bagus sayang nya setiap aploud video GK fypppp,5
apknya bagus sangat membantu,5
Adain fitur terbaru→terlama di postingan yg dilike & simpan dong kak. Makasih.,4
mantul,5
udh bgus siuu,5
"punyaku update nya lama, suka paling akhir gtu pdhl udh disetel update otomatis, tp ttp aja",2
asik bgt,5
asik bisa nonin liv tapi saya ga dapet uang,5
suka bgt sma aplikasinya,5
aku sangat menyukainya,5
harus diatas 16 thn,2
suka banget bikin mood kembali happy,5
Cukup bagusn,4
asik,5
"tiktok aplikasinya jadi burik gini. padahal buka apk lain terus ada iklan tiktok langsung beralih ke apk tiktok nya langsung, ganggu banget",1
bagussss sekali,5
mantap,5
ngleg parah si aplikasi nya masa iya suara nya ada gambar nya gada,1
semua nya udah bagus cuma ada satu kendala kalau di HP gw ad tempat foto live pas mau upload di tt nya ga ada tulisan foto live😭🙏,5
bagus,5
Download nya lama banget anjir tapi aplikasi ini berguna,4
bagus😎😎,5
enek buat scroll,5
Verifikasi umur gagal padahal sudah di lampirkan foto KTP dan selfie dengan KTP pemilik akun terlebih prosesnya memakan waktu 4 hari sedangkan di informasi hanya memakan waktu 48 jam untuk pengajuan banding. Saya sebagai user merasa sangat dirugikan oleh hal ini,1
ga ngapa ngapain di band,1
ok,5
bagus ae,3
"kenapa tiktok sekarang lemot ,buka aplikasi lemot ,harus membutuhkan kuota data yg sangat besar",1
bagus jadi penganti capcut..bisa edit juga cuman iklan buat bug aplikasi nya . tapi bagus bisa belanja di tiktok,4
tetep gak ada berbenah nih komentar gak muncul live gak bisa intinya tiktok makin kesini makin buruk,1
"bagus, tapi kekurangannya adalah harus agrade ke dana premium untuk mentransfer uang",3
Kenapa tidak bisa memposting ulang?,4
makin update makin ngeleg tolong benerin dong,1
sangat bagus,5
𝕒𝕜𝕦 𝕤𝕦𝕜𝕒 ❤ 𝕕𝕒𝕟 𝕓𝕒𝕘𝕦𝕤 𝕓𝕒𝕟𝕘𝕖𝕥,5
saya tidak bisa berkomentar di live tiktok orang lain,5
"kurangi lah ikan judol nya , benci bgt gwe",1
yayyaayay,2
yezz,5
luar biasa,5
sangat bagus tapi masi belum bisa vn,5
buat hiburan 😍😍😍,1
sistem promosi nya like dan komentar ga naik parah lu ilang doang duit gw,1
"lagi live atau hnya scrol"" tiba"" keluar sndiri. apa coba. udah update malah gak karuan",1
bagus,5
adalah pokoknya,5
"tiktok, bisa gak sih nambah riwayat postingan ulang yg lama gk harus discroll manual gitu?",1
"apk nya bagus,tetapi banyak bug dan juga sering susah masuk ke apk",3
soal nya gabisa vn,3
saya topup coin 117 tapi hanya dikasih 70,1
"banyak berita hoax,,,yang tidak ada kebenaran nya dan membuat kesalahpahaman di masyarakat yang sangat merugikan sebagian pihak",1
kok di gua belum ada fitur vn sih tolong segera di update ya,5
aplikasi nya lelet banget,1
Sangat bagus aplikasi ini,5
bagus soalnya bisa nonton bisa live bisa bikin video bisa bikin akun bisa cari di pencarian bisa Velocity semuanya bisa keren segitu aja ulasan ku soalnya malas ngetik yaudah by🙌,5
bgus bgt tt nyaa,5
vidio offline kemana?,2
kok aku login keluar sendiri gimana ini woi tanggung jawab,2
sangat bagus,5
"knp apknya bgitu, smkin di-update smkin ngelang, ini knp sih mohon diperbaiki",1
bagus,5
"balikin akun tiktok yang dulu, dan mohon buka blokir pada hari ini please san kasih saya kesempatan untuk membuka akun tiktok saya saya janji tidak akan mengulangi lagi",5
"halo?, sepertinya aku mengalami beberapa bug, misalnya saja entah kenapa aplikasi sering crash mungkin ada masalah hanya pada beberapa perangkat?, tolong perbaiki itu!",4
lebih asik ada tempat mengedit slowmo nya dan kalo tiktok lite itu gak ada pengeditan nya jadi lebih ke tiktok ini,5
kenapa view upload video selalu 0 dan video yg upload tidak ada fitur untuk menambahkan nya ke story,1
nglagg hp gua meledak woiiii🗿,1
Sangat bagus,5
aplikasi yg sangat bagus,5
Bagussss,5
"tiktok knp sihh? sebelumnya aku make bagus² aja lohh. awal nya tiktok ku ngeleg trus di suruh pulihkan sma tiktok nya, yaudah aku pulihkan biar gk ngeleg lgi di situ juga tertulis ""tidak akan menghilang data akun anda"". tapi setelah di pulihkan malah fitur tiktok nya jdi beda? mksudnya apa sihh tiktok ku udh update, setelah pulihkan malah kembali ke fitur yg belum di update. kesell lohh kalau tau kaya gitu mending gk ush di pulihkan",3
aplikasi sangant memuaskan,5
Asik asik aja,5
lelet banget pas donlout,3
Jelek,5
bikin tiktok saya bisa VN,5
hmmm bagus sih tapi aku buat akun diblokir karena banyak pelanggaran tapi kan saya juga gatau kalo itu pelanggaran,3
"skrng mah tiktok ngelag mulu, males, kenapa ya",1
bagus banget sih bagi ku,5
mantap untuk nonton modif modif montor mobil apa aja pokoknya mantap josjis,5
lama bukak,2
"sekarang banyak bug kirim story mentok di 99% padahal jaringan kenceng,tolong di perbaiki lagi lah",1
"bagiku bagus aja sih,cuma emang agak ngelag dikit,tapi itu ga masalah,yang kupermasalahin adalah,MIN KENAPA FITUR KIRIM STIKER DIILANGIN😭",4
makin kesini makin gak jelas banyak bug nya lagi live musik gak masuk gak kedengeran sm penonton,1
bagus,5
mantap lanjut kan,5
download nya lama sekali padahal jaringan nya bagus,1
bisa untuk selfie,5
kak tik tok ku sering keluar sendiri,5
Bagus,5
Aku pengen banget dapat aplikasi tiktok biaasa,5
Really like tiktok because... from this app I can learn from this to that.,5
semoga bermanfaat,4
bagus,5
Kenapa Tiktok Shop tidak mau kirim paketnya ke 2xnya yang pertama saya tidur belum mengaktifkan aplikasi tiktok tiba-tiba datang kan aneh dan saya bilang kak bisa kirim lagi ke2xnya malah dia bilang di Wa saya Pulang bikin saya sangat kecewa,1
banyak handphone yang tidak stereo ketika live streaming terutama hp vivo tolong di perbaiki,1
"Dalam beberapa bulan terakhir saya pake aplikasi ini, keluhan yang paling sering terjadi adalah keluar dari aplikasi sendiri, dan juga tiap kali saya mau log in / daftar akun selalu saja layar menjadi hitam dan stuck logo, padahal sebelum mendownload Tiktok, saya pastikan penyimpanan minimal >2 GB, saya benar-benar kesal, untungnya punya tingkat kesabaran, tapi overall masalah konten sih bagus-bagus aja menurut saya karena saya sendiri sangat suka konten vlog, edukasi, musik, memasak, dan laiin.",4
bagus,5
bentar bentar suruh update bentar bentar dapat peringatan im bikin peraturan seenaknya sendiri,5
tiktok memberikan jawaban 100 persen,5
akun ku di blok terus. terus lemot apa lagi kalo udah abdet pesti jelek,5
gak ada metode gopay buat tarik uang dari pengembalian dana harus Adain kasian orang yang belum punya bank atau rekening,1
Saya cuma gak but,3
bagus banget aplikasi nya bisa buat tambah tenen n saudara,5
menginstal nya lama,2
baguss pada efek efek nya tapii ada satu yang susah kalauu udah tau umur nya langsung tidak bisa daptar lagi,5
butut,3
"dear Tiktok, ini kenapa punya saya gk ada fitur apinya? aku cari runtunan api buat di hidupin malah gak ada. kalo masalah umur saya kurang cukup gk mungkin lah tolong diperbaiki..",1
Kok Pas Gua Mau Nyimpen foto gak bisa dulu gua mau nyimpen foto dari tik tok bisa tapi kok sekarang gak bisa Tolong Diperbaiki 🙏,1
adalah pokoknya,5
bagus bisa belanja bikin video,5
bgus tpi di akun gua gbisa ambil vt post ke story,3
tolong bug pelanggaran chatnya di perbaiki akun saya jadi terkena pelanggaran padahal itu bukan hal hal sensitif,5
sebenarnya bgus tpi bnyk video serem dan bikin trauma,5
titok sesat aku chat teman ku malah pelanggaran baru semua teman ku hilang tiktok kembali kan teman ku,1
y menurutku satu lagi buruknya apk ini TOLONG tuk di kasih tau info alamat toko online yg jelas biar bisa prediksi in buat kita jarak waktu toko itu ke customer tokonya 🙏🙏,4
update nya terlalu lamaaa bangedddsdss males sampe sekarang blum selesai,3
bagus bekerja dengan baik aplikasih ini,5
abis di update kok malah sering ngelek ya trs suka ada bug² gjls pdhl sebelum di update ga gitu,2
"tolong algoritmanya diperbaiki,karena yang memakai aplikasi ini bukan orang dewasa saja",2
"Aplikasi jelek, padahal saya gk pernah niru konten orang lain, tapi ke 2 akun ku dapet peringatan ""Akun tidak direkomendasikan""",1
parah tik tok. paylaternya udah dstop 1 tahun.. mlah di prpnjang stop 6 bulan tmbah pnjang lagi.. pdahal sring blnja..kcwa,1
ya lumayan lah,3
"Permisi, Untuk Admin tiktok mengapa saya tidak bisa DM ya? tolong dong kembalikan fitur chat saya🙏saya ingin DM seseorang untuk hal penting🙏🙏",4
bagus,5
susah hapus postingan ulang harus satu persatu klik nya coba lansung semua,1
lumayan bagus tapi trbatas,4
aku mau buka tiktok ko gk bisa ya gimana mimin tiktok???,3
bagus banget bisa aku pakai belajar Al Qur'an dan tobat,5
pitur ini paling bagus. mudah di gunakan,5
kok gk bisa update,1
kenapa saya kasih bintang 🌟 lima ya betul sekali karena ini tiktok sangat bagus bisa nonton apa aja dan bahkan bisa nonton secara offline dan di tiktok juga kita bisa ketemu teman dan bisa dapat uang dengan cara live dan lainnya juga terimakasih byy,5
jelek akun gw gak di kasi kembali,1
saya tidak bisa login tik tok menggunakan google tolong diperbaiki kalau sudah diperbaiki saya kasih bintang 5 nanti,1
bagus tiktok nya,5
apl ini bagus,5
fitur dm tiba tiba hilang,1
aplikasi ini sangat bagus aku berikan reting bintang 5,5
aku tidak bisa bikin akun nn,5
"ini niat gk sih! gw lagi scroll malah ngelag parah, padahal wifi kaga ngelag. emang gk niat bikin aplikasi ya? minimal benerin dulu masalah jaringannya",1
saya tidak bisa upload vt taii,1
enak kali dan bisa belanja ny diskon,5
bagus,5
kaya ajg,1
bagus,5
"seruu, nemenin kegabutan",4
"saya pake TikTok Lite karena TikTok biasa ngeleg saya sudah coba hapus download berkali kali,tetap saja sama ngelag",2
sangat baik,5
"tolong dong tiktok sensitif bgtt lagi live rokok keliatan dikitt langsung di banned giliran yang pamer² susu aman aman ajaa, ga adil!!",1
Medsos terbagus sih menurut saya 😁,5
bagus banget banget aku hampir scroll tiktok setiap hari seri banget,5
mantap,5
"setelah update, live streaming game untuk audio perangkat tidak aktif pada saat live tolong di perbaiki.",1
oke sangat membantu,5
"untuk tiktok tolong pilih jasa kurir yg jelas"" aja, jgn kerja sama dgn GTL, itu jasa kurir paling sampah yg pernah ada... tolong 1 kali lgi saya ingatkan jgn pakai kurir GTL!!!!",1
bagus,5
aplikasi GAJELAS makin kesini makin berat. suka macet trs keluar sendiri. Hp gua juga ga kentang emg apk nya aja yg rese. bikin emosi,1
ke ban tidak bisa masuk padahal tidak berbuat hal hal yg aneh,1
bagus,5
bagus tapi gak bisa vn di komentar,5
seruu,5
sangat bagus n memuaskan keren,5
kenapa akun orang lain bisa vn di komen tapi di akun gw belum ada ya?,4
"aplikasinya emang bagus,nontonnya juga lancar, tapi setiap aku update tiktoknya tuh lama bgt baru selesai,terus aplikasinya terlalu banyak makan ruangan penyimpanan,dan padahal jaringan aku tuh bagus,lancar,tapi pas buka tiktoknya. tiktoknya malah jadi lemot padahal jaringannya bagus",3
"min, coba proses masalah pembayaran yang tidak saya kenalin,tiba"" saldo saya hilang sendri di sedot tiktok tanpa pengetahuan saya tolong di proses dan kembalikan saldo saya, karena saya tidak merasa membeli produk dri tiktok mu",1
awalnya ngeleg terus...setiap buka aplikasi langsung kluar sendiri usut demi usut ternyata hp sy yg jadul dan MSI skrg aku pakai meski kluar2 sendiri😁😁😁✌️.... aplikasinya mantap,5
hubungkan email baru terimakasih,5
bagus saya bisa menonton film anime dan donghua dalam bahasa Indonesia,5
"bagusss bngt sumfahh ,update nya juga bikin kita seneng ,dan sering pakek nontonn,smngat trus tiktokkk",5
"bersama dengan monyet, BTW apk nya bagus tpi kok ram 15 langsung full ya padahal cuma ff sma tt sekian terima kasih 亗",5
sangat baik untuk di proses untuk melakukan,5
bagusw,5
Yeong indo SMP dong,5
that simpel,5
bagus aja,5
bgus bet no komen tpi klo soal video pornografi tolong tangani lebih baik karena msih banyak video yg mengandung pornografi,5
kenapa ya tiap saya instal suka lama,5
"udah lama pake tiktok dari 2018 masih bagus banget siehh,luvv banget buat tiktok",5
bisa gak vn,3
saya di haruskan untuk melakukan verifikasi nomorr telephone . tapi saya tidak mendapatkan balasan kode OTP . apa yang harus saya lakukan.. tolong saya tidak bisa post VT sampai masalah ini selesai,2
susah bgt mau nginstall aplikasi ini,3
gak suka,1
"gw kasih bintang 5 biar review ini bisa paling atas. tolong kalo ada user yg ga waras, itu tuh di tindak, bukan malah di naikin derajatnya, gw udh males liat orang niru orang lain, atau yg lebih parah, orang ngaku tuhan dan yah gitulah. gw benci banget sama sistem keamanan di tiktok, tolong ditambahin sistem verifikasi usia macam Roblox, kalo terdeteksi 15 kebawah, ya kasih batasan, kyk gabisa komen, gabisa chat, dll. tolong bgt di update keamanannya. overall, 4/10.",5
👌🏻,5
sangat membantu afiliasi n,5
bagus,5
karan kadang kadang pas masuk keluar lagi harus di hapus dlu lalu di download lagi,3
sangat seru dan menarik,5
seru,5
apanya hemat data yg paling besar MB nya tito sampe 2gb jelek,2
banyak konten tidk baik,1
"kenapa saya beli promosi di tiktok koq konten saya tidak bisa di upload, statusnya tertunda terus padahal sudah bayar dari 3 jam yang lalu",4
gabaguss sihhh soalnya lelet ga seru ngelag sya saranin yahh,1
keren bagus ku kasih bintang,5
seru,5
aplikasi ini sangat bagus buat anak muda kaya kita untuk mulai suatu konten,5
aplikasi ini sangat baik.gak leletpokoknya mantap,5
lucu pet ny,5
sangat bgus,5
bagus sekali 👍,5
Mantap,1
akunku suka di blokir,5
jelek sekali karna sering mental mentalan terus,1
Wah aku suka tiktok ada felter filter kasih bintang lima dehhh,5
ok,5
mantul x bah,5
mantap,5
"bagus, sangat rekomendasi, karena saat bosan,sedih,senang,kagum,kaget, menyesal, tinggal scroll tiktok aja, seru dan menarik sekali",5
atuh aku mau nge donglod tik Tok pelis,1
lu habus fitur stiker yang ada dikomen apa gua habus tiktok dari HP gua? gak ada manfaat sama sekali fitur itu bagi kita kayak kandang monyet kalau kita buka komentar,2
